,County,Year,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,COUNTY POP
89,3,2015,368.83892584089716,300.744763777006,292.9858877315156,284.3624525936297,288.59708908756414,275.0201312578656,333.8167772717464,306.96474650663833,260.39927911433045,269.18698428504774,371.0286796557761,473.1842441765142,121
90,109,2015,704.8321884300294,555.1713761435548,554.5349667559193,534.0673081381834,534.4001322938866,668.9837948029488,741.2459085440477,708.4615020763645,587.5196825841336,525.7421244153732,688.5087607019385,839.5320932457756,55111
91,99,2015,773.1342962215864,595.4314161495904,602.9931976438467,564.3517611939677,613.6360493978797,1005.4486271379944,1101.8824727392887,1030.400773144524,853.8759793281871,687.1436430649263,683.2419940451506,842.2400813947853,112013
92,45,2015,775.8849666785428,635.8945855413799,676.278207426615,648.07897239086,631.981483164925,692.2450506321353,722.633890006181,677.674163618832,612.1239484556044,623.8828242457265,747.1562590441646,866.5779212971719,87740
93,33,2015,857.9598522909339,674.1780334672253,654.1528826466117,618.4702484631515,581.6240012829019,735.8881936107888,795.216043881852,728.0294613302483,583.5661684038661,583.5640091589981,809.033030665046,992.8699363279597,64659
94,23,2015,746.1210850501808,646.9371482081322,705.591134931172,674.8544470430849,668.9727466635821,613.280461768612,618.9501667452602,613.0376119584072,601.1683775298868,655.519905636039,729.6643077964061,820.8129433126729,133795
95,105,2015,700.0191755995039,590.9122124139134,662.8736079932298,635.8811035236533,651.0003563148407,647.920791592815,647.1811054103272,625.9926964172822,583.4988285882283,556.7017758510708,745.0578653957672,739.2232786990788,2238
96,5,2015,692.2934617275228,552.8440766282439,557.7894467670769,539.0384030630174,542.6107619888134,761.0211547993091,835.623472369183,778.7673447070515,642.2694590060264,562.9626751399054,658.6133734079813,799.4368893554675,37876
97,57,2015,766.4146762896278,627.4143168513297,644.5820803965091,617.1192515160437,602.9046403370494,788.2971598063334,872.9435174175527,794.8685667161125,657.5298381952125,613.5012527958655,760.2364187488632,903.0897034204015,81978
98,61,2015,798.7157884455952,623.7164675979437,619.6061041414714,580.9348773270968,602.4369398326536,1010.8000121259245,1116.3386243838881,1026.4394902627148,820.6385840258764,679.6216149307055,731.210477398531,907.6239884058907,293671
99,113,2015,548.8660812355047,427.761127861411,429.3432957251981,413.30785877653784,435.6635826801411,712.458081985349,787.1946537239927,733.0435099158684,603.5747269827806,500.269433235371,492.5912425408612,579.1637965183752,200849
100,17,2015,840.3161388131123,660.5832790733928,651.099773731188,615.2293314481335,616.4585450431975,892.1760819514022,984.4042595757819,915.15144896472,773.7893819349816,673.2306976589277,795.0582719540494,973.5639006659175,150331
101,101,2015,586.6645135536772,462.5683417133514,476.7760209140162,470.6396835054096,527.2284994344502,982.190016907378,1045.841204697188,934.0930449736233,701.6045642664027,570.4193615540379,529.371220497307,636.7690703652057,94737
102,11,2015,643.3822501116306,501.32153610791545,508.5981263916215,503.7965815459479,562.8038163963369,1005.5181778891313,1054.6167894015657,940.9555144280002,728.9751400597021,591.7717513032364,586.214131870582,719.4701198941945,21419
103,115,2015,627.9887011572016,501.2035928964286,516.9454118663114,505.6764633509793,547.6070099702398,912.2111111535658,977.4531103317297,886.3413762330192,696.7652513162398,591.1829988818845,571.946214489566,683.8230046909521,70418
104,7,2015,618.1874060966537,495.5585264509818,499.9113706666827,483.8553469315376,520.6310914786773,854.7165514845688,917.9312930853067,813.0515853151104,637.058071525478,538.6451864866012,579.6305903529397,696.5370865951862,219996
105,91,2015,486.1351580396479,396.2591534840708,423.3962188196419,427.75049338575707,423.4066952843912,417.88722563238537,473.82109888827546,447.62335072149693,401.39094167697175,417.5760555094284,541.8409533223631,589.5903841552017,904
106,21,2015,714.4919101677608,563.660819876635,559.3904406257543,541.4114951504499,595.3063631780554,1047.2877428893694,1111.7558323123787,985.130587124196,763.5831194591585,621.7595289582773,649.1522621672533,823.1949195322766,28122
107,63,2015,637.3017109639987,471.00303448940826,500.7668543997507,468.1298359241408,457.59837450988465,443.4962299957869,496.55998029823087,468.40147157196975,429.6541915935928,462.6524359493513,602.4029837670163,677.7920574221765,13017
108,103,2015,718.2654010951663,564.6157489971207,573.6907944003343,560.6341059114768,619.2918117773277,1013.9960700842983,1081.161604876096,947.9833545289895,730.7659285198762,613.8770602501629,672.5463639369757,822.0047829469015,63036
109,89,2015,893.6842894103169,717.7899968945184,725.7100735533455,692.4778500263565,728.5601715722132,1129.9972305608496,1220.5668957206062,1065.3957812099445,828.5822933969785,717.8825068966875,859.7064175218471,1061.1835738253706,176603
110,35,2015,503.7152046214409,390.84713211802085,417.10985573639886,409.3990242130928,427.6880046998832,454.0150445558032,546.1995947004397,480.7627362003737,424.7613179650469,414.92653825537434,501.2087425563645,583.5351292096523,2951
111,49,2015,768.1263657547116,629.345772783895,640.8170868915427,608.8708043143298,607.8970054775886,670.4274757477477,718.010186097618,685.757327507876,602.7410546620241,611.6995790526723,742.7017023710827,883.9492866407691,111
112,37,2016,584.8994872631006,480.1011108925402,436.2231807860376,429.90057724012695,409.89566555513323,490.8436463827687,648.5571050063561,706.566941196704,611.0073532170845,545.6535964703106,467.379420952784,501.96134903422126,6643854
113,111,2016,586.383960197769,490.01434992756197,462.0290454727685,452.71423410500125,427.9625486629004,481.72157919441753,588.2222014087903,621.0943454253323,556.484069667504,544.2782941219109,488.4336245851718,527.4306151583836,822872
114,59,2016,555.850665073241,464.7033260129147,440.39652161754117,434.3042263507855,420.65953657108594,486.10279123979717,630.3494330097714,696.781733132877,592.2392057728874,555.1718905626697,481.73151272456306,511.6422692456307,2777814
115,71,2016,595.559221757226,488.0961561919853,450.0962105620389,451.2557483460588,439.02707367063954,610.8306764670926,892.8117783583763,973.2660562145667,803.7088978224865,621.9962535148953,498.73890600357777,522.1837513245204,2004701
116,65,2016,662.5638925317861,547.6859144877022,522.0131954178545,525.8505151782439,515.9658501818489,715.9679737797986,1058.9267935761034,1173.0699097952136,975.0435826730848,736.0497965582143,589.2432584173251,593.2653688044484,1933533
117,73,2016,497.3423199335042,390.4286335886666,397.32274187477026,362.28656057354453,372.6791225583424,440.4578708877914,549.2904070114747,560.3071474696242,468.6548296790046,450.1783665522303,420.8951152382537,493.50071105606855,3061958
118,25,2016,423.6725227767699,355.7196564056083,312.8698194345505,329.36003653411495,359.9844425762598,625.3247469580588,860.2479022505415,882.0920005708759,863.6563869325195,460.88997539144594,377.4607884746997,376.26651235591663,260
119,27,2016,751.3593793692869,595.1031547252693,502.7614629336628,463.7518753885212,432.99858001996625,517.9110591374579,607.2605289285304,600.0828643286513,535.4235131897999,467.47780810780665,492.74780429750723,608.3167865931688,15052
120,83,2016,524.2975399013998,437.2921217775793,427.9175370417249,399.7385462038906,390.65708795184236,392.2056730891973,405.15259201064976,406.9213981267625,407.4070009827834,422.71902714896464,431.7055967974707,512.2162094811162,420548
121,31,2016,736.4668506927572,567.2863769607302,532.9571302091964,517.8428931891891,686.5164608742607,1047.7417421928733,1249.9012940575137,1181.1620088315715,859.3346875835277,604.1606485127983,589.2398048112077,774.7261493920951,152968
122,107,2016,635.3522866031233,507.0399386297862,460.8036559677443,453.0693010717001,523.6351620340994,816.7240658378555,1025.54315961091,1045.7112265057306,859.2765213031919,611.8470312394642,494.3045335371281,588.4748128766548,440133
123,29,2016,523.6262389061216,412.0010234094998,392.58237110671234,401.99151208714466,544.430288210037,897.9446158139458,1092.8750815542762,1047.1081223958495,761.1006943180787,486.3886363971047,426.94999529857887,533.9992842335237,838810
124,19,2016,583.1395921170084,453.8667604406184,440.8102855562055,424.847555381476,567.69229544339,915.0144560016807,1120.5608911634374,1047.395379478424,723.1239797866864,479.591024884653,475.8376731096267,620.8976710015196,930265
125,53,2016,484.1670526476797,392.1164333401889,401.33525692585545,368.8746673766028,374.8516970612323,354.5881008952781,369.93802523055723,376.7635024441541,364.307113420548,388.54986219307887,414.9964451383655,513.0750986081398,414542
126,69,2016,607.7565486253968,487.44437642650104,498.9711899538504,456.47038375216465,467.07023622390403,515.4819600171656,511.7392916043814,484.3605034469453,489.9630567315387,488.3905265337299,517.7660321444315,659.3893203286401,55269
127,79,2016,519.310024899244,412.35669303305986,415.58006358259155,377.02762242083963,384.697487059912,456.4997472767172,466.5298245717064,436.6797268632802,415.6079366978934,406.8960708455709,433.66854359185584,538.8786917873838,269621
128,51,2016,1030.9436148028574,795.2572406839735,657.0776394547042,578.7892627234296,432.94373366491516,389.38234085255544,398.77724277267606,383.7967147076926,363.69398887149055,383.76559467814104,461.76287409938624,683.4942921452692,12782
129,39,2016,672.0559940829654,522.8784341988537,509.9330591250686,468.6176166635799,578.1171674746647,869.992905057552,1063.0170550926034,995.9221621804132,716.6124494884498,520.7379033526362,536.3637074912348,711.6166776001219,150865
